C0005,Mon Jan 09 2023 15:20:57 GMT+0800 (Singapore Standard Time),The staff at the clothing store were rude and unhelpful.,addressed,1004
C0013,Thu Feb 09 2023 08:00:50 GMT+0800 (Singapore Standard Time),The food at the restaurant was cold and tasted stale.,being handled,1004
C0020,Thu Mar 02 2023 15:39:07 GMT+0800 (Singapore Standard Time),The electronics store sold me a faulty product and refused to provide a refund.,addressed,1002
C0010,Sun Mar 12 2023 08:33:22 GMT+0800 (Singapore Standard Time),"The service at the restaurant was extremely slow, and the staff were inattentive.",being handled,1004
C0011,Fri Mar 17 2023 05:12:04 GMT+0800 (Singapore Standard Time),"The jewelry store overcharged me for a necklace, and it broke after wearing it for only a few hours.",being handled,1002
C0019,Wed Mar 22 2023 11:27:55 GMT+0800 (Singapore Standard Time),"There was a hair in my food at the restaurant, and the waiter was dismissive when I complained.",being handled,1005
C0015,Tue Mar 28 2023 12:21:04 GMT+0800 (Singapore Standard Time),"The grocery store had expired products on the shelves, and the cashier was impolite.",addressed,1004
C0016,Tue Apr 11 2023 22:14:23 GMT+0800 (Singapore Standard Time),"The portion sizes at the restaurant were much smaller than advertised, and the prices were exorbitant.",pending,1005
C0002,Sat May 06 2023 02:00:29 GMT+0800 (Singapore Standard Time),The footwear store sold me shoes that fell apart after just a few days of wear.,pending,1010
C0012,Fri May 12 2023 21:56:17 GMT+0800 (Singapore Standard Time),"The cleanliness of the restaurant was appalling, and there were pests running around the dining area.",being handled,1007
C0008,Mon May 22 2023 21:48:25 GMT+0800 (Singapore Standard Time),The waiter at the restaurant was rude and made inappropriate comments.,addressed,1005
C0004,Wed Jun 14 2023 17:01:57 GMT+0800 (Singapore Standard Time),"The entertainment store advertised a sale, but when I went to purchase items, they were all out of stock.",being handled,1002
C0018,Wed Aug 30 2023 21:10:45 GMT+0800 (Singapore Standard Time),"The restaurant's restroom was filthy, and there was no soap or hand sanitizer available.",addressed,1002
C0003,Tue Sep 12 2023 09:21:23 GMT+0800 (Singapore Standard Time),"The grocery store cashier was extremely slow, causing long queues at the checkout.",being handled,1003
C0007,Wed Sep 20 2023 00:14:12 GMT+0800 (Singapore Standard Time),The food served at the restaurant was not as described on the menu and tasted bland.,pending,1010
C0009,Sun Sep 24 2023 15:32:07 GMT+0800 (Singapore Standard Time),"The apparel store had misleading pricing tags, and I ended up paying more than I expected.",pending,1003
C0006,Mon Oct 02 2023 05:15:12 GMT+0800 (Singapore Standard Time),The restaurant manager was unresponsive to my complaints about the poor quality of the food.,being handled,1007
C0001,Fri Oct 13 2023 16:03:52 GMT+0800 (Singapore Standard Time),"The footwear store did not have proper sizes available, and the staff were unhelpful.",being handled,1008
C0017,Sat Nov 04 2023 20:28:14 GMT+0800 (Singapore Standard Time),"The restaurant's outdoor seating area was dirty, and there were cigarette butts everywhere.",pending,1001
C0014,Tue Nov 07 2023 03:02:15 GMT+0800 (Singapore Standard Time),"The beauty store sold me expired makeup products, and they refused to exchange them.",pending,1010
